id;filename;binary_class;split;fold_test;fold_val
1;sample_001;0;train;2;1
2;sample_002;0;train;4;3
3;sample_003;0;val;1;0
4;sample_004;0;train;2;1
5;sample_005;0;train;2;1
6;sample_006;0;test;0;4
7;sample_007;0;val;1;0
8;sample_008;0;train;2;1
9;sample_009;0;train;2;1
10;sample_010;0;train;4;3
11;sample_011;1;val;1;0
12;sample_012;1;test;0;4
13;sample_013;1;train;3;2
14;sample_014;1;train;2;1
15;sample_015;1;val;1;0
16;sample_016;1;train;2;1
17;sample_017;1;test;0;4
18;sample_018;1;train;4;3
19;sample_019;1;train;2;1
20;sample_020;1;train;2;1
